Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
Sindh,Pakistan,"2020-06-12 05:09:52",26.009446,68.77680699999999,46828,776,22047,24005,"Sindh, Pakistan",97.79048182528143,1.6571282138891261
"Azad Jammu and Kashmir",Pakistan,"2020-06-13 03:33:14",34.027401,73.947253,534,10,237,287,"Azad Jammu and Kashmir, Pakistan",13.20028892317778,1.8726591760299625
Balochistan,Pakistan,"2020-06-13 03:33:14",28.328492,65.898403,7673,75,2673,4925,"Balochistan, Pakistan",62.15769925945416,0.9774534080542161
Gilgit-Baltistan,Pakistan,"2020-06-13 03:33:14",35.792146,74.982138,1030,15,673,342,"Gilgit-Baltistan, Pakistan",101.61959936226302,1.4563106796116505
Islamabad,Pakistan,"2020-06-13 03:33:14",33.665087,73.121219,6699,65,1164,5470,"Islamabad, Pakistan",333.8529591761472,0.9702940737423495
"Khyber Pakhtunkhwa",Pakistan,"2020-06-13 03:33:14",34.485332,72.09169,15787,632,3907,11248,"Khyber Pakhtunkhwa, Pakistan",51.721023867252406,4.003293849369735
Punjab,Pakistan,"2020-06-13 03:33:14",30.811346,72.13913199999998,47382,890,9546,36946,"Punjab, Pakistan",43.06967388288681,1.8783504284327381
Sindh,Pakistan,"2020-06-13 03:33:14",26.009446,68.77680699999999,46828,776,22047,24005,"Sindh, Pakistan",97.79048182528143,1.6571282138891261
"Azad Jammu and Kashmir",Pakistan,"2020-06-14 03:33:15",34.027401,73.947253,574,11,242,321,"Azad Jammu and Kashmir, Pakistan",14.1890746103072,1.916376306620209
Balochistan,Pakistan,"2020-06-14 03:33:15",28.328492,65.898403,7866,80,2722,5064,"Balochistan, Pakistan",63.72116022088706,1.0170353419781337
Gilgit-Baltistan,Pakistan,"2020-06-14 03:33:15",35.792146,74.982138,1044,16,676,352,"Gilgit-Baltistan, Pakistan",103.00083663514815,1.5325670498084292
Islamabad,Pakistan,"2020-06-14 03:33:15",33.665087,73.121219,7163,71,1671,5421,"Islamabad, Pakistan",356.9769736645383,0.9912048024570711
"Khyber Pakhtunkhwa",Pakistan,"2020-06-14 03:33:15",34.485332,72.09169,16415,642,4072,11701,"Khyber Pakhtunkhwa, Pakistan",53.778463722109855,3.9110569600974716
Punjab,Pakistan,"2020-06-14 03:33:15",30.811346,72.13913199999998,50087,938,17560,31589,"Punjab, Pakistan",45.52848667789776,1.8727414299119531
Sindh,Pakistan,"2020-06-14 03:33:15",26.009446,68.77680699999999,49256,793,23113,25350,"Sindh, Pakistan",102.86085190027468,1.6099561474744193
"Azad Jammu and Kashmir",Pakistan,"2020-06-15 03:33:14",34.027401,73.947253,647,13,254,380,"Azad Jammu and Kashmir, Pakistan",15.993608489318396,2.009273570324575
Balochistan,Pakistan,"2020-06-15 03:33:14",28.328492,65.898403,8177,85,2859,5233,"Balochistan, Pakistan",66.24051959397323,1.0395010395010396
Gilgit-Baltistan,Pakistan,"2020-06-15 03:33:14",35.792146,74.982138,1129,16,716,397,"Gilgit-Baltistan, Pakistan",111.386920077665,1.41718334809566
Islamabad,Pakistan,"2020-06-15 03:33:14",33.665087,73.121219,8569,78,2037,6454,"Islamabad, Pakistan",427.0467244634132,0.9102579064068153
"Khyber Pakhtunkhwa",Pakistan,"2020-06-15 03:33:14",34.485332,72.09169,18013,675,4539,12799,"Khyber Pakhtunkhwa, Pakistan",59.01379634641272,3.7472936212735246
